Lijst Overzicht Reserveringen 

Datum: 21.09.2015 tot 22.05.2016 
Opleiding : 51230411 MA ING WET: COMPUTERWET. 
Studiejaar: alle 

Afdrukdatum: 14.12.2015 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|Event ID|Event Nr| Week|Datum |Dagnaam |Aanvang |Einde |Ects D| Objid D|Code |Teken|Objid SM|Objectomschrijving |Objid SC|S|Status Lok |Status Lok |Mnemonic|Lokaal Nr| Obj.-ID|Cap G|Lokaal |Code |Tekst gebouw |Straat en huisnummer |Plaats |Postcode|Lnd|S|Status Les |Status Les |Lesgever |Pers.nr.|Pers.nr.|Tekst Vak |Opmerking |Afhandeling |Reeksinfo |Alg. omsch|Reeksinfo Accent |Opm. Accen|Afh. Accen| 
|53311485| 1|201539|24.09.2015|Donderdag|08:30:00|10:30:00|H01F2a|50270933|H01F2A|K |50271075|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200G |00.06 |50075287| 292 | |492-11|Kandidatuur Scheikunde |Celestijnenlaan 200g |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|D. Cattrysse | 14059| 14059| Bedrijfskunde & Entrepreneurship: hoorcollege | | | | | | | | 
|53310675| 1|201539|24.09.2015|Donderdag|10:30:00|13:00:00|G0K32a|50656983|G0K32A|P |50656998|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200A |00.144 |50849433| 60 |Seminarielokaal |490-12|Computerwetenschappen |Celestijnenlaan 200a |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|E. Steegmans | 13942| 13942| Vereistenanalyse voor complexe softwaresystemen | | | | | | | | 
|53303396| 1|201539|24.09.2015|Donderdag|14:00:00|16:00:00|H02C1a|50286650|H02C1A|P |50290457|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|C300 |00.03 |50075273| 241 |AUD. A |391-11|Instituut voor Mechanica |Celestijnenlaan 300 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|H. Blockeel | 37438| 8122| Machine Learning and Inductive Inference: Lecture |systeemfout dubbele boeking docent???? | | | | | | | 
|53310373| 1|201539|24.09.2015|Donderdag|14:00:00|16:00:00|H00K1a|50394282|H00K1A|K |50394346|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|C300 |04.43 |50075266| 84 |SEM.LOK.C |391-11|Instituut voor Mechanica |Celestijnenlaan 300 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|L. Pintelon | 2124| 2124| Engineering Economy: Lecture | | | | | | | | 
|53309145| 1|201539|24.09.2015|Donderdag|16:00:00|18:30:00|H04H5a|50448145|H04H5B|K |51231352|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200N |00.04 |50075350| 108 | |490-16|Auditoria N |Celestijnenlaan 200n |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|G. Janssens | 14842| 14842| Studie van declaratieve talen: hoorcollege | Dubbele boeking HN03 oké (gelijktijdige activiteit) | | | | | | | 
|53309145| 1|201539|24.09.2015|Donderdag|16:00:00|18:30:00|H04H5a|50448145|H04H5B|K |51231352|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200N |00.04 |50075350| 108 | |490-16|Auditoria N |Celestijnenlaan 200n |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|T. Schrijvers | 36446| 36446| Studie van declaratieve talen: hoorcollege | Dubbele boeking HN03 oké (gelijktijdige activiteit) | | | | | | | 
|53310155| 1|201539|24.09.2015|Donderdag|16:00:00|18:30:00|H04L5a|50448268|H04L5A|P |50448413|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200A |00.225 |50721558| 125 |AUDITORIUM COMPUTERWETENSCHAPPEN |490-12|Computerwetenschappen |Celestijnenlaan 200a |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|F. Piessens | 18905| 18905| Vergelijkende studie van imperatieve programmeertalen: hoorcollege | Dubbele boeking oké (gelijktijdige activiteit HS01) | | | | | | | 
|53305993| 2|201539|25.09.2015|Vrijdag |08:30:00|10:30:00|H04H8a|50448142|H04H8B|K |50840604|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200B |01.14 |50075319| 40 | |490-11|Instituut voor Wiskunde |Celestijnenlaan 200b |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|F. Piessens | 18905| 18905| Formal Systems and their Applications: Lecture | | | | | | | | 
|53312611| 1|201539|25.09.2015|Vrijdag |08:30:00|10:30:00|H03F7a|50448295|H03F7A|K |50448365|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200A |00.144 |50849433| 60 |Seminarielokaal |490-12|Computerwetenschappen |Celestijnenlaan 200a |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|D. Huybrechs | 70285| 40688| Wavelets: Lecture | Dubbele boeking H3F7 oké (extra lokaal) | | | | | | | 
|53324884| 1|201539|25.09.2015|Vrijdag |08:30:00|10:30:00|H03F0a|50448301|H03F0A|P |50448362|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200B |01.07 |50075327| 40 | |490-11|Instituut voor Wiskunde |Celestijnenlaan 200b |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|K. Meerbergen | 9717| 9717| Technisch-wetenschappelijke software: hoorcollege | | | | | | | | 
